,Ticker,Date, Close/Last, Volume, Open, High, Low
0,UAL,2020-05-22,25.4,45062050,26.38,26.58,24.67
1,UAL,2020-05-21,25.84,53737290,25.09,26.58,25.0
2,UAL,2020-05-20,24.91,56271960,24.38,25.39,24.3
3,UAL,2020-05-19,23.68,81387950,25.62,25.67,23.33
4,UAL,2020-05-18,24.13,72914840,21.79,24.26,21.46
5,UAL,2020-05-15,19.92,39807950,19.67,20.9599,19.28
6,UAL,2020-05-14,20.3,74107760,19.72,20.43,18.18
7,UAL,2020-05-13,20.71,59007860,22.51,22.64,20.33
8,UAL,2020-05-12,22.76,40420910,23.95,24.4627,22.74
9,UAL,2020-05-11,23.97,47485790,24.5,24.64,23.46
10,UAL,2020-05-08,25.42,55613250,23.58,25.44,23.32
11,UAL,2020-05-07,22.75,44179280,22.96,24.45,22.4498
12,UAL,2020-05-06,22.91,43355300,23.96,24.35,22.385
13,UAL,2020-05-05,24.12,35651670,26.04,26.35,23.98
14,UAL,2020-05-04,25.26,63152400,23.91,25.56,22.76
15,UAL,2020-05-01,26.62,47710310,28.1,29.25,26.13
16,UAL,2020-04-30,29.58,44896850,29.66,31.07,28.32
17,UAL,2020-04-29,31.21,52643460,29.58,31.84,29.49
18,UAL,2020-04-28,27.84,59812100,25.86,28.43,25.5
19,UAL,2020-04-27,25.0,35980030,25.985,26.34,24.87
20,UAL,2020-04-24,25.56,34850730,25.92,26.15,24.67
21,UAL,2020-04-23,25.72,35812490,26.0,26.56,25.66
22,UAL,2020-04-22,25.88,90730570,27.3,27.66,25.01
23,UAL,2020-04-21,27.88,28293240,27.01,28.36,26.76
24,UAL,2020-04-20,27.79,37041700,27.927,28.67,26.69
25,UAL,2020-04-17,29.08,26829600,29.9,30.11,28.86
26,UAL,2020-04-16,28.21,44795630,30.348,30.49,27.92
27,UAL,2020-04-15,31.86,46775180,31.97,32.6,29.88
28,UAL,2020-04-14,30.9,28650560,30.52,32.21,30.38
29,UAL,2020-04-13,28.91,36493670,32.63,32.7,27.59
30,UAL,2020-04-09,31.5,54118480,29.92,34.04,29.57
31,UAL,2020-04-08,27.51,32657740,25.65,27.54,24.51
32,UAL,2020-04-07,24.48,43809290,28.2,28.69,23.7241
33,UAL,2020-04-06,24.02,32386710,23.9,24.8,21.8
34,UAL,2020-04-03,22.885,28350250,24.2165,24.9395,21.56
35,UAL,2020-04-02,23.42,25212820,25.24,26.09,23.0
36,UAL,2020-04-01,25.65,27541550,29.51,29.69,25.3601
37,UAL,2020-03-31,31.55,16568760,31.31,33.605,30.5831
38,UAL,2020-03-30,30.16,18386440,30.69,31.8,28.0
39,UAL,2020-03-27,32.84,18379570,35.02,35.2,32.03
40,UAL,2020-03-26,35.55,29647800,38.38,39.78,34.53
41,UAL,2020-03-25,36.6,32988800,38.0,39.47,33.29
42,UAL,2020-03-24,33.0,31502490,31.99,34.15,30.01
43,UAL,2020-03-23,26.25,25585770,25.97,26.6,23.37
44,UAL,2020-03-20,24.5,37407970,23.37,30.74,22.2
45,UAL,2020-03-19,21.28,31611170,21.34,23.99,18.09
46,UAL,2020-03-18,21.38,35372670,28.81,28.97,17.8
47,UAL,2020-03-17,30.67,21078870,36.49,38.14,30.05
48,UAL,2020-03-16,35.47,28259540,34.34,39.37,30.38
49,UAL,2020-03-13,41.64,24135260,41.33,42.49,34.0
50,UAL,2020-03-12,37.08,19423640,42.77,44.31,37.01
51,UAL,2020-03-11,49.34,10917060,50.53,51.23,48.05
52,UAL,2020-03-10,52.56,15642910,51.0,54.33,46.62
53,UAL,2020-03-09,46.78,12307560,49.585,50.99,45.915
54,UAL,2020-03-06,52.1,16492240,48.61,56.0,48.2601
55,UAL,2020-03-05,51.59,13974730,57.11,57.16,50.93
56,UAL,2020-03-04,59.47,10671200,59.51,59.74,56.315
57,UAL,2020-03-03,58.29,9208799,63.14,63.53,57.96
58,UAL,2020-03-02,61.26,13015180,61.13,61.27,57.0425
59,UAL,2020-02-28,61.59,9957999,62.85,64.8799,60.825
60,UAL,2020-02-27,64.94,10257090,62.9,69.02,61.2
61,UAL,2020-02-26,66.53,9372177,71.75,71.91,65.89
62,UAL,2020-02-25,70.57,8076210,75.76,76.18,70.32
63,UAL,2020-02-24,75.47,6332868,75.08,76.02,73.65
64,UAL,2020-02-21,78.01,4545057,79.4,79.4,77.32
65,UAL,2020-02-20,79.91,2893884,79.3,81.67,79.3
66,UAL,2020-02-19,79.42,3350290,80.94,80.94,79.19
67,UAL,2020-02-18,80.24,4183723,79.0,80.625,78.65
68,UAL,2020-02-14,79.55,3119656,81.02,81.44,79.4
69,UAL,2020-02-13,80.99,2998888,81.0,81.74,80.37
70,UAL,2020-02-12,82.2,2907099,81.08,82.6,81.0
71,UAL,2020-02-11,80.53,2763727,80.02,81.45,79.945
72,UAL,2020-02-10,79.47,3492868,78.95,79.61,77.78
73,UAL,2020-02-07,79.48,3129720,80.0,80.24,78.65
74,UAL,2020-02-06,80.5,5218811,82.4,82.7211,79.79
75,UAL,2020-02-05,81.85,6993789,80.76,82.36,80.05
76,UAL,2020-02-04,78.89,6423869,76.64,79.53,76.5
77,UAL,2020-02-03,74.91,3951366,75.49,77.1199,74.88
78,UAL,2020-01-31,74.8,5196562,77.17,77.29,74.52
79,UAL,2020-01-30,77.75,5900393,74.66,77.98,74.44
80,UAL,2020-01-29,75.21,5512397,77.4,77.4899,75.01
81,UAL,2020-01-28,77.05,7575578,78.25,78.475,77.0
82,UAL,2020-01-27,77.63,8671260,78.0,78.46,76.55
83,UAL,2020-01-24,81.9,6869764,84.31,84.73,80.28
84,UAL,2020-01-23,84.88,6194380,83.0,85.17,81.06
85,UAL,2020-01-22,83.34,8453244,86.75,87.565,83.15
86,UAL,2020-01-21,85.79,9546684,87.88,88.0,84.57
87,UAL,2020-01-17,89.7,4221217,89.8,90.1,88.96
88,UAL,2020-01-16,89.54,2427506,88.79,89.715,88.78
89,UAL,2020-01-15,88.29,1878934,87.61,88.8,87.25
90,UAL,2020-01-14,87.85,3243640,88.17,89.64,87.71
91,UAL,2020-01-13,86.89,2707860,87.31,87.67,86.7
92,UAL,2020-01-10,87.31,2035663,88.04,88.26,86.97
93,UAL,2020-01-09,87.95,2252191,87.72,88.72,87.5
94,UAL,2020-01-08,87.3,4153259,86.9,88.45,86.3
95,UAL,2020-01-07,86.77,2594744,87.41,88.16,86.74
96,UAL,2020-01-06,87.7,2652773,86.72,88.07,86.65
97,UAL,2020-01-03,87.9,3562918,86.8,88.16,86.26
98,UAL,2020-01-02,89.74,2671623,89.57,90.57,89.105
99,UAL,2019-12-31,88.09,2073700,87.71,88.46,87.71
100,UAL,2019-12-30,87.96,1799897,88.51,88.8599,87.51
101,UAL,2019-12-27,88.37,1402073,89.31,89.389,88.01
102,UAL,2019-12-26,89.26,1041642,89.3,89.715,88.8
103,UAL,2019-12-24,89.15,771149,89.46,89.63,88.66
104,UAL,2019-12-23,89.44,1906056,89.72,90.1,89.28
105,UAL,2019-12-20,89.28,3026482,89.37,89.9,89.05
106,UAL,2019-12-19,89.22,2172531,89.28,89.78,89.0501
107,UAL,2019-12-18,88.84,1876903,89.5,89.98,88.36
108,UAL,2019-12-17,89.36,2218406,88.57,89.99,88.3501
109,UAL,2019-12-16,88.63,2090200,87.95,89.46,87.95
110,UAL,2019-12-13,87.58,1972842,88.2,89.43,87.42
111,UAL,2019-12-12,88.47,2903831,87.7,89.9,87.32
112,UAL,2019-12-11,87.02,2418182,86.47,87.15,86.08
113,UAL,2019-12-10,86.51,1994909,87.58,87.92,86.36
114,UAL,2019-12-09,87.61,2235201,88.49,88.58,87.3
115,UAL,2019-12-06,88.58,1485328,88.79,89.5,88.55
116,UAL,2019-12-05,87.86,1959655,89.1,89.33,87.6
117,UAL,2019-12-04,88.17,2072411,89.16,89.81,88.13
118,UAL,2019-12-03,88.87,3393153,90.6,90.775,88.5
119,UAL,2019-12-02,91.63,1941963,93.0,93.62,91.44
120,UAL,2019-11-29,92.8,905807,92.8,93.49,92.51
121,UAL,2019-11-27,93.05,1602154,93.06,93.67,92.77
122,UAL,2019-11-26,92.76,2043490,92.48,92.92,92.02
123,UAL,2019-11-25,92.52,1941650,92.11,93.13,91.55
124,UAL,2019-11-22,91.78,1440399,91.1,91.94,90.94
125,UAL,2019-11-21,90.97,1630935,91.88,92.11,90.77
