,Time,Ticker,Asset Turnover,Average Assets,Book Value per Share,Current Ratio,Debt to Equity Ratio,Dividend Yield,EBITDA,EBITDA [USD],EBITDA Margin,Earnings before Tax,Average Equity,Enterprise Value,Enterprise Value over EBIT,Enterprise Value over EBITDA,Free Cash Flow,Free Cash Flow per Share,Foreign Currency to USD Exchange Rate,Gross Margin,Invested Capital,Invested Capital Average,Market Capitalization,Profit Margin,Price to Earnings (Damodaran Method),Price to Earnings Ratio,Price to Sales Ratio,Price to Sales (Damodaran Method),Price to Book Value,Return on Invested Capital,Sales per Share,Payout Ratio,Return on Average Assets,Return on Average Equity,Return on Sales,Tangible Asset Value,Tangible Asset Book Value per Share,Working Capital
119,2017-12-31,KO,0.402,90189500000.0,3.9960000000000004,1.344,4.037,0.032,8968000000.0,8968000000.0,0.248,6855000000.0,21017000000.0,222360416458.0,29.0,24.795,5399000000.0,1.264,1.0,0.621,76393000000.0,72734000000.0,195479416458.0,0.034,156.634,158.207,5.412999999999999,5.398,11.45,0.106,8.477,5.103,0.013999999999999999,0.059000000000000004,0.213,71260000000.0,16.680999999999997,9351000000.0
129,2017-12-31,MA,0.62,20163000000.0,5.125,1.569,2.8819999999999997,0.006,7113000000.0,7113000000.0,0.569,6522000000.0,5843250000.0,159047328096.0,24.0,22.36,5241000000.0,4.912,1.0,1.0,6787000000.0,7278500000.0,160239328096.0,0.313,40.93,41.243,12.923,12.822000000000001,29.305,0.917,11.712,0.24,0.19399999999999998,0.67,0.534,17174000000.0,16.096,5004000000.0
139,2017-12-31,MSFT,0.41700000000000004,245107250000.0,10.163,2.885,2.267,0.019,42036000000.0,42036000000.0,0.41100000000000003,32205000000.0,81361750000.0,612678045280.0,19.0,14.575,33284000000.0,4.317,1.0,0.649,105635000000.0,101153250000.0,659906045280.0,0.135,47.718999999999994,48.056000000000004,6.449,6.452000000000001,8.421,0.318,13.265,0.893,0.055999999999999994,0.17,0.315,211614000000.0,27.447,109534000000.0
149,2017-12-31,PFE,0.309,170322500000.0,11.944,1.3519999999999999,1.4040000000000001,0.035,18528000000.0,18528000000.0,0.353,12259000000.0,62220250000.0,257068819022.0,21.0,13.875,14585000000.0,2.443,1.0,0.7859999999999999,78826000000.0,77764250000.0,215896819022.0,0.406,10.132,10.146,4.115,4.109,3.028,0.158,8.802,0.359,0.125,0.342,0.233,67104000000.0,11.24,10714000000.0
159,2017-12-31,PG,0.539,121998000000.0,20.498,0.943,1.314,0.03,17145000000.0,17145000000.0,0.261,13943000000.0,55115500000.0,262285708390.0,18.0,15.298,10188000000.0,3.8160000000000003,1.0,0.495,53990000000.0,49740000000.0,233095708390.0,0.153,23.113000000000003,23.803,3.7319999999999998,3.5460000000000003,4.26,0.289,24.622,0.71,0.083,0.183,0.21899999999999997,56796000000.0,21.275,-1893000000.0
169,2017-12-31,T,0.373,430165000000.0,22.945,0.972,2.145,0.05,45429000000.0,45429000000.0,0.28300000000000003,14742000000.0,128596750000.0,353464320000.0,17.0,7.781000000000001,17363000000.0,2.8280000000000003,1.0,0.515,256831000000.0,268355000000.0,238684320000.0,0.183,8.105,8.151,1.4869999999999999,1.4869999999999999,1.694,0.078,26.151999999999997,0.41100000000000003,0.068,0.22899999999999998,0.131,224372000000.0,36.549,-2243000000.0
179,2017-12-31,V,0.28600000000000003,65589500000.0,16.144000000000002,2.0669999999999997,1.011,0.006,13086000000.0,13086000000.0,0.698,11954000000.0,32222000000.0,243670685945.0,19.0,18.621,8957000000.0,4.329,1.0,0.8540000000000001,23120000000.0,21350250000.0,236208685945.0,0.381,33.032,37.755,12.575999999999999,12.592,7.072,0.5870000000000001,9.067,0.228,0.109,0.222,0.6679999999999999,23883000000.0,11.543,8924000000.0
29,2017-12-31,BA,0.982,95769500000.0,2.78,1.141,66.817,0.019,12514000000.0,12514000000.0,0.133,10107000000.0,200000000.0,177841062218.0,17.0,14.210999999999999,11699000000.0,19.643,1.0,0.185,31886000000.0,32182500000.0,175642062218.0,0.09,20.766,21.02,1.868,1.868,106.064,0.325,157.838,0.405,0.08800000000000001,42.29,0.111,104230000000.0,175.00599999999997,10546000000.0
19,2017-12-31,AMZN,1.713,103831750000.0,57.727,1.04,3.739,0.0,16128000000.0,16128000000.0,0.091,3802000000.0,24313750000.0,575478052497.0,124.0,35.681999999999995,8307000000.0,17.305999999999997,1.0,0.371,64298000000.0,50162500000.0,563535052497.0,0.017,185.801,185.043,3.156,3.168,20.338,0.09300000000000001,370.55400000000003,0.0,0.028999999999999998,0.125,0.026000000000000002,117960000000.0,245.75,2314000000.0
199,2017-12-31,XOM,0.706,346334750000.0,44.29600000000001,0.816,0.8220000000000001,0.037000000000000005,39030000000.0,39030000000.0,0.16,18536000000.0,181573250000.0,390735552280.0,20.0,10.011000000000001,14664000000.0,3.4610000000000003,1.0,0.35200000000000004,330079000000.0,330393500000.0,354391552280.0,0.081,17.98,18.065,1.45,1.45,1.8880000000000001,0.057999999999999996,57.672,0.6609999999999999,0.057,0.109,0.078,348691000000.0,82.295,-10637000000.0
